5_degrees,45_degrees
1.22,1.2742665
1.22,1.2741715
1.225,1.2733885
1.217032,1.2767285
1.217074,1.2740825
1.220792,1.2754315
1.218006,1.275123
1.2160545,1.2728
1.219995,1.2778395
1.218432,1.274905
1.18975,1.28025
1.2288335,1.2875545
1.2354905,1.287376
1.249027,1.2897715
1.254848,1.2862355
1.2358275,1.2905045
1.240249,1.2826225
1.2464185,1.2355765
1.236378,1.282704
1.2407335,1.271134
1.2368565,1.2903585
1.183,1.28
1.186,1.279
1.196,1.278
1.194,1.284
1.15,1.17
1.16,1.17
1.15,1.19
1.12,1.17
1.12,1.14
1.14,1.18
1.1,1.17
1.12,1.15
1.12,1.17
1.13,1.16
1.08,1.24
0.86,1.32
1.04,1.4
0.98,1.36
1.16,1.26
1.06,1.22
1.12,1.34
0.98,1.44
1.26,1.26
1.18,1.36
